status,ticker,company_name,source_path,target_path,mapping_source_level,chain_code,chain_name,position,subcategory,choice_count,note
moved,1454,台富,Pilot_Reports/1454_台富.md,Pilot_Reports/1454_台富.md,raw_member,O000,紡織,中游,紡紗,3,
moved,1455,集盛,Pilot_Reports/1455_集盛.md,Pilot_Reports/1455_集盛.md,raw_member,O000,紡織,中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1,
moved,1457,宜進,Pilot_Reports/1457_宜進.md,Pilot_Reports/1457_宜進.md,raw_member,O000,紡織,中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,3,
moved,1459,聯發,Pilot_Reports/1459_聯發.md,Pilot_Reports/1459_聯發.md,raw_member,O000,紡織,中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1,
moved,1460,宏遠,Pilot_Reports/1460_宏遠.md,Pilot_Reports/1460_宏遠.md,raw_member,O000,紡織,中游,紡紗,4,
moved,1463,強盛新,Pilot_Reports/1463_強盛新.md,Pilot_Reports/1463_強盛新.md,raw_member,O000,紡織,下游,染整,1,
moved,1464,得力,Pilot_Reports/1464_得力.md,Pilot_Reports/1464_得力.md,raw_member,O000,紡織,中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,4,
moved,1465,偉全,Pilot_Reports/1465_偉全.md,Pilot_Reports/1465_偉全.md,raw_member,O000,紡織,中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,2,
moved,1466,聚隆,Pilot_Reports/1466_聚隆.md,Pilot_Reports/1466_聚隆.md,raw_member,O000,紡織,中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1,
moved,1468,昶和,Pilot_Reports/1468_昶和.md,Pilot_Reports/1468_昶和.md,raw_member,O000,紡織,中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,5,
moved,1470,大統新創,Pilot_Reports/1470_大統新創.md,Pilot_Reports/1470_大統新創.md,raw_member,O000,紡織,下游,染整,1,
