ticker,company_name,source_md,rendered_md,source_wikilinks,rendered_wikilinks,missing_wikilinks,missing_source_sections,financial_preserved,competitor_count
4754,國碳科,Pilot_Reports/Specialty Chemicals/4754_國碳科.md,output/enrichment_all_rendered/4754_國碳科.md,6,11,,,true,1
4755,三福化,Pilot_Reports/Specialty Chemicals/4755_三福化.md,output/enrichment_all_rendered/4755_三福化.md,12,17,,,true,1
4760,勤凱,Pilot_Reports/Semiconductor Equipment & Materials/4760_勤凱.md,output/enrichment_all_rendered/4760_勤凱.md,9,14,,,true,1
4763,材料-KY,Pilot_Reports/Specialty Chemicals/4763_材料-KY.md,output/enrichment_all_rendered/4763_材料-KY.md,10,10,,,true,2
4764,雙鍵,Pilot_Reports/Specialty Chemicals/4764_雙鍵.md,output/enrichment_all_rendered/4764_雙鍵.md,11,15,,,true,1
4765,磐采,Pilot_Reports/Specialty Chemicals/4765_磐采.md,output/enrichment_all_rendered/4765_磐采.md,6,11,,,true,1
4766,南寶,Pilot_Reports/Specialty Chemicals/4766_南寶.md,output/enrichment_all_rendered/4766_南寶.md,12,17,,,true,1
4767,誠泰科技,Pilot_Reports/Specialty Chemicals/4767_誠泰科技.md,output/enrichment_all_rendered/4767_誠泰科技.md,8,8,,,true,3
4768,晶呈科技,Pilot_Reports/Specialty Chemicals/4768_晶呈科技.md,output/enrichment_all_rendered/4768_晶呈科技.md,9,14,,,true,1
4770,上品,Pilot_Reports/Specialty Chemicals/4770_上品.md,output/enrichment_all_rendered/4770_上品.md,10,15,,,true,1
4772,台特化,Pilot_Reports/Specialty Chemicals/4772_台特化.md,output/enrichment_all_rendered/4772_台特化.md,9,14,,,true,1
4773,高福,Pilot_Reports/Specialty Chemicals/4773_高福.md,output/enrichment_all_rendered/4773_高福.md,9,9,,,true,3
4903,聯光通,Pilot_Reports/Communication Equipment/4903_聯光通.md,output/enrichment_all_rendered/4903_聯光通.md,7,7,,,true,1
4904,遠傳,Pilot_Reports/Telecom Services/4904_遠傳.md,output/enrichment_all_rendered/4904_遠傳.md,17,21,,,true,1
4905,台聯電,Pilot_Reports/Communication Equipment/4905_台聯電.md,output/enrichment_all_rendered/4905_台聯電.md,8,9,,,true,1
4906,正文,Pilot_Reports/Communication Equipment/4906_正文.md,output/enrichment_all_rendered/4906_正文.md,14,14,,,true,1
4907,富宇,Pilot_Reports/Real Estate - Development/4907_富宇.md,output/enrichment_all_rendered/4907_富宇.md,5,10,,,true,1
4908,前鼎,Pilot_Reports/Communication Equipment/4908_前鼎.md,output/enrichment_all_rendered/4908_前鼎.md,10,15,,,true,1
4909,新復興,Pilot_Reports/Electronic Components/4909_新復興.md,output/enrichment_all_rendered/4909_新復興.md,13,18,,,true,1
4911,德英,Pilot_Reports/Biotech - Therapeutics/4911_德英.md,output/enrichment_all_rendered/4911_德英.md,9,10,,,true,1
4912,聯德控股-KY,Pilot_Reports/Metal Fabrication/4912_聯德控股-KY.md,output/enrichment_all_rendered/4912_聯德控股-KY.md,6,11,,,true,1
4915,致伸,Pilot_Reports/Consumer Electronics/4915_致伸.md,output/enrichment_all_rendered/4915_致伸.md,10,15,,,true,1
4916,事欣科,Pilot_Reports/Computer Hardware/4916_事欣科.md,output/enrichment_all_rendered/4916_事欣科.md,9,14,,,true,1
4919,新唐,Pilot_Reports/Semiconductors/4919_新唐.md,output/enrichment_all_rendered/4919_新唐.md,13,17,,,true,1
4923,力士,Pilot_Reports/Semiconductors/4923_力士.md,output/enrichment_all_rendered/4923_力士.md,7,12,,,true,1
4924,欣厚-KY,Pilot_Reports/Computer Hardware/4924_欣厚-KY.md,output/enrichment_all_rendered/4924_欣厚-KY.md,4,9,,,true,1
4925,智微,Pilot_Reports/Semiconductors/4925_智微.md,output/enrichment_all_rendered/4925_智微.md,11,11,,,true,1
4927,泰鼎-KY,Pilot_Reports/Electronic Components/4927_泰鼎-KY.md,output/enrichment_all_rendered/4927_泰鼎-KY.md,18,23,,,true,1
4930,燦星網,"Pilot_Reports/Furnishings, Fixtures & Appliances/4930_燦星網.md",output/enrichment_all_rendered/4930_燦星網.md,13,18,,,true,1
4931,新盛力,Pilot_Reports/Electrical Equipment & Parts/4931_新盛力.md,output/enrichment_all_rendered/4931_新盛力.md,16,21,,,true,1
4933,友輝,Pilot_Reports/Electronic Components/4933_友輝.md,output/enrichment_all_rendered/4933_友輝.md,11,16,,,true,1
4934,太極,Pilot_Reports/Solar/4934_太極.md,output/enrichment_all_rendered/4934_太極.md,9,14,,,true,1
4935,茂林-KY,Pilot_Reports/Electronic Components/4935_茂林-KY.md,output/enrichment_all_rendered/4935_茂林-KY.md,8,13,,,true,1
4938,和碩,Pilot_Reports/Computer Hardware/4938_和碩.md,output/enrichment_all_rendered/4938_和碩.md,18,23,,,true,1
4939,亞電,Pilot_Reports/Electronic Components/4939_亞電.md,output/enrichment_all_rendered/4939_亞電.md,15,20,,,true,1
4942,嘉彰,Pilot_Reports/Electronic Components/4942_嘉彰.md,output/enrichment_all_rendered/4942_嘉彰.md,12,17,,,true,1
